distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second,store_forward,vendor
0.45,40.67219162,-74.01203918,1,40.67601776,-74.01442719,0,1,4,10,6,22,0,1,4,10,8,52,0,2
18.51,40.64547729,-73.77632141,1,40.78546906,-73.94915771,3,1,21,10,18,2,3,1,21,10,46,36,0,2
2.7,40.82606125,-73.9496994,1,40.85089874,-73.93203735,4,1,29,11,6,29,4,1,29,11,18,10,0,1
0.79,40.70559692,-73.94295502,1,40.71139145,-73.94733429,2,1,20,22,26,7,2,1,20,22,30,17,0,2
1.28,40.79517365,-73.96593475,5,40.79656219,-73.94917297,1,1,12,10,22,59,1,1,12,10,32,25,0,2
2.9,40.66389847,-73.91075134,1,40.65358734,-73.87206268,1,1,19,20,9,26,1,1,19,20,31,15,0,1
2.5,40.69311523,-73.96943665,3,40.69547272,-73.96930695,2,1,20,14,11,1,2,1,20,14,28,23,0,1
2.1,40.71891022,-73.84168243,1,40.74604034,-73.85634613,4,1,22,10,25,43,4,1,22,10,37,50,0,2
0.71,40.71687698,-73.94313049,5,40.71492386,-73.95166779,3,1,14,21,40,29,3,1,14,21,44,33,0,2
3.44,40.71623611,-74.00267029,1,40.68776703,-73.98012543,4,1,8,9,27,16,4,1,8,9,46,23,0,2
1.48,40.81063843,-73.96231842,1,40.79713058,-73.94928741,1,1,26,10,36,18,1,1,26,10,49,56,0,2
1.77,40.75209808,-73.90349579,2,40.74659729,-73.89142609,0,1,11,22,17,53,0,1,11,22,31,22,0,2
3.64,40.71644974,-73.95936584,1,40.71474075,-73.94321442,6,1,3,2,49,51,6,1,3,3,12,38,0,2
1.3,40.74988937,-73.86295319,1,40.7624588,-73.87525177,0,1,4,14,45,13,0,1,4,14,54,56,0,1
1.84,40.80456543,-73.95526123,1,40.78735352,-73.9415741,3,1,21,11,21,52,3,1,21,11,33,32,0,2
2.17,40.83302307,-73.94070435,1,40.80450821,-73.95557404,5,1,9,22,44,57,5,1,9,22,53,26,0,2
3.35,40.82593155,-73.94100189,5,40.79338837,-73.94042969,5,1,2,2,37,32,5,1,2,2,48,42,0,2
8.3,40.7518425,-73.98052216,1,40.84070969,-73.94022369,2,1,6,17,34,45,2,1,6,18,2,21,0,1
6.15,40.72557831,-73.86329651,1,40.71932602,-73.95821381,5,1,9,22,39,18,5,1,9,22,56,6,0,2
1.98,40.69057083,-73.95832825,1,40.66559219,-73.95400238,5,1,16,23,58,34,6,1,17,0,6,44,0,2
2.16,40.82567215,-73.95269775,1,40.80259323,-73.95501709,4,1,15,17,36,24,4,1,15,17,49,20,0,2
6.67,40.76501083,-73.96125793,1,40.73052597,-73.86172485,1,1,12,14,50,2,1,1,12,15,24,29,0,2
4.01,40.77719879,-73.90074921,2,40.7491684,-73.86941528,5,1,23,2,30,47,5,1,23,2,52,25,0,2
0.65,40.68000412,-73.94308472,1,40.68106842,-73.95547485,4,1,15,23,22,6,4,1,15,23,25,56,0,2
0.6,40.81443024,-73.94041443,1,40.81041718,-73.94691467,1,1,5,8,4,7,1,1,5,8,7,53,0,1
1.52,40.78689575,-73.95024872,1,40.80526352,-73.93904877,4,1,1,20,37,3,4,1,1,20,42,53,0,2
2.57,40.85414886,-73.91191864,1,40.83595276,-73.94333649,2,1,20,16,27,56,2,1,20,16,43,27,0,2
2.77,40.84161758,-73.93911743,1,40.80934143,-73.94802094,4,1,8,14,11,10,4,1,8,14,30,2,0,2
1.2,40.69416428,-73.92380524,3,40.70643234,-73.92299652,3,1,21,3,59,25,3,1,21,4,5,54,0,1
3.29,40.71921158,-73.98977661,1,40.72370529,-73.95101166,2,1,27,20,57,29,2,1,27,21,8,49,0,2
2.17,40.82291794,-73.91819,1,40.80757523,-73.94511414,6,1,3,22,7,22,6,1,3,22,17,26,0,2
2.25,40.65576172,-73.9598465,2,40.6841011,-73.9776535,6,1,24,20,28,53,6,1,24,20,41,47,0,2
0.6,40.69263077,-73.9917984,1,40.69999695,-73.99153137,2,1,13,9,11,20,2,1,13,9,15,33,0,1
2.45,40.69827652,-73.94381714,1,40.71951675,-73.9559021,5,1,30,2,43,50,5,1,30,2,55,44,0,2
2.94,40.823246,-73.9056015,1,40.80877304,-73.94803619,5,1,2,19,46,19,5,1,2,20,5,13,0,2
2.84,40.77447128,-73.87238312,1,40.77004242,-73.91779327,4,1,8,17,7,52,4,1,8,17,14,21,0,2
1,40.72615814,-73.9489975,1,40.71458817,-73.96125031,5,1,9,20,32,59,5,1,9,20,42,55,0,2
3.94,40.67589188,-73.94496155,1,40.72141266,-73.95758057,5,1,30,0,22,23,5,1,30,0,42,13,0,2
1.55,40.70100403,-73.92599487,1,40.69131851,-73.92546082,4,1,1,0,15,25,4,1,1,0,23,18,0,2
1.98,40.71236038,-73.95560455,1,40.72759628,-73.95156097,3,1,28,9,59,35,3,1,28,10,15,46,0,2
1.22,40.75419617,-73.81058502,1,40.7609024,-73.82489777,0,1,25,19,23,36,0,1,25,19,34,18,0,2
0.9,40.74693298,-73.94277954,1,40.74797058,-73.95643616,3,1,7,8,36,27,3,1,7,8,41,23,0,1
6.96,40.70810318,-73.95700836,1,40.77096176,-73.91693115,3,1,14,5,37,28,3,1,14,5,50,30,0,2
4.1,40.71806717,-73.94522858,1,40.67586517,-73.95612335,4,1,8,12,4,57,4,1,8,12,30,34,0,1
1.34,40.79216766,-73.93803406,1,40.80475616,-73.93796539,4,1,29,21,12,32,4,1,29,21,18,46,0,2
3.92,40.68056107,-73.84399414,1,40.72674179,-73.85359955,0,1,4,11,28,43,0,1,4,11,45,18,0,2
1.95,40.74321365,-73.85520935,1,40.72102737,-73.84421539,0,1,18,20,35,28,0,1,18,20,45,23,0,2
1.05,40.73467255,-73.89322662,5,40.74643326,-73.89077759,3,1,21,15,49,47,3,1,21,15,56,3,0,2
2.76,40.70411682,-73.93857574,1,40.67126083,-73.9258728,4,1,15,13,29,3,4,1,15,13,45,54,0,2
0.51,40.7110672,-73.95046997,5,40.71194077,-73.94120026,0,1,11,23,55,4,0,1,11,23,56,25,0,2
2.1,40.67462158,-73.9978714,1,40.67546082,-74.01580048,5,1,9,16,39,10,5,1,9,16,48,49,0,1
