cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
4.5,0.83,40.69454575,-73.97611237,1,40.69383621,-73.98726654,0,2,6,1,3,21,2,35,6,1,3,21,5,52
6,1.27,40.81214905,-73.95975494,1,40.8014679,-73.94845581,0,2,1,1,19,21,49,17,1,1,19,21,54,37
9.5,1.8,40.67874146,-73.98030853,1,40.67979813,-73.95544434,0,2,1,1,5,9,46,18,1,1,5,9,57,28
4,0.5,40.75471497,-73.92549896,1,40.76081848,-73.92293549,0,1,4,1,8,17,49,12,4,1,8,17,52,20
6,0.9,40.66966248,-73.91104126,1,40.66493988,-73.9230423,0,1,4,1,29,10,28,21,4,1,29,10,34,59
11.5,2.72,40.77496338,-73.89237213,1,40.74625397,-73.89731598,0,2,5,1,30,13,8,46,5,1,30,13,20,20
25,6.83,40.75603104,-73.94535065,1,40.80010223,-73.95005035,0,2,4,1,8,16,32,18,4,1,8,17,5,38
3.5,0.45,40.67219162,-74.01203918,1,40.67601776,-74.01442719,0,2,0,1,4,10,6,22,0,1,4,10,8,52
5,0.77,40.66605759,-73.97817993,1,40.67120361,-73.98458099,0,2,5,1,9,2,34,5,5,1,9,2,37,43
11,2.2,40.69973755,-73.9936676,1,40.68327332,-73.96582794,0,2,3,1,14,1,14,45,3,1,14,1,27,24
7.5,1.5,40.61215973,-73.94902802,1,40.63244629,-73.94767761,0,1,1,1,12,16,14,12,1,1,12,16,21,59
24.5,6.27,40.74581146,-73.98792267,1,40.71521378,-73.96052551,0,2,5,1,9,17,35,52,5,1,9,18,5,29
9.5,2,40.78779602,-73.95561218,1,40.80733871,-73.96453094,0,1,3,1,14,20,17,20,3,1,14,20,26,58
7.5,1.54,40.76130676,-73.88076019,1,40.75048447,-73.88248444,0,2,6,1,17,20,38,8,6,1,17,20,46,11
6,1.24,40.72980118,-73.91172028,1,40.73987961,-73.92410278,0,2,6,1,10,1,20,28,6,1,10,1,25,3
5,0.75,40.71107864,-73.9655304,1,40.71691132,-73.95661163,0,2,5,1,9,16,56,54,5,1,9,17,1,4
9,2.2,40.74750137,-73.94421387,1,40.77341461,-73.92512512,0,1,4,1,8,20,56,41,4,1,8,21,5,34
25.5,7,40.75238419,-73.97544861,2,40.79001236,-73.94800568,0,1,5,1,2,15,49,53,5,1,2,16,20,21
17.5,5.1,40.6660614,-73.87281036,1,40.6601181,-73.95987701,0,2,4,1,15,4,23,43,4,1,15,4,41,6
52,18.51,40.64547729,-73.77632141,1,40.78546906,-73.94915771,0,2,3,1,21,10,18,2,3,1,21,10,46,36
6,1.1,40.74262619,-73.90332031,1,40.74707413,-73.88922119,0,1,5,1,30,12,45,11,5,1,30,12,51,11
5,0.63,40.74533081,-73.880867,2,40.74678421,-73.89102936,0,2,5,1,23,3,51,20,5,1,23,3,56,36
14.5,3.28,40.75270844,-73.93518066,1,40.74770355,-73.88433075,0,2,6,1,10,20,32,15,6,1,10,20,49,16
16,2.51,40.75114441,-73.87213898,3,40.74832153,-73.87657166,0,2,5,1,30,20,27,3,5,1,30,20,50,25
9,2.04,40.71920395,-73.8421936,1,40.73382187,-73.86207581,0,2,6,1,3,15,16,58,6,1,3,15,26,27
13.5,3.42,40.82627869,-73.90558624,1,40.79081345,-73.93920135,0,2,2,1,27,21,9,20,2,1,27,21,24,0
27,6.57,40.75715256,-73.93574524,1,40.68547821,-73.94714355,0,2,2,1,27,6,31,55,2,1,27,7,6,28
21.5,7.4,40.65130615,-73.97982025,1,40.71403503,-73.95590973,0,1,2,1,20,23,40,11,2,1,20,23,51,46
13,2.78,40.78090286,-73.95693207,2,40.80861664,-73.9659729,0,2,3,1,7,10,10,37,3,1,7,10,26,26
6.5,1.6,40.80547333,-73.9499588,1,40.78858566,-73.9532547,0,2,5,1,2,20,49,50,5,1,2,20,54,30
9.5,1.78,40.67889404,-73.98686981,1,40.66327667,-73.98467255,0,2,5,1,9,21,36,48,5,1,9,21,47,44
6,0.97,40.79481125,-73.94450378,1,40.79841614,-73.95282745,0,2,4,1,22,18,57,36,4,1,22,19,3,36
7,1.5,40.59540176,-73.93515015,1,40.58716965,-73.95414734,0,1,3,1,7,12,7,55,3,1,7,12,15,22
8,1.5,40.80854797,-73.9513092,1,40.82195663,-73.93572998,0,1,4,1,1,0,43,15,4,1,1,0,52,15
8.5,1.29,40.76032257,-73.92195892,1,40.77446747,-73.9126358,0,2,5,1,2,23,45,50,5,1,2,23,56,41
13.5,2.7,40.7023201,-73.87634277,1,40.73504639,-73.87421417,0,1,2,1,27,19,44,28,2,1,27,20,1,47
4.5,0.55,40.75634384,-73.92115021,1,40.76381683,-73.9151001,0,2,0,1,25,20,0,5,0,1,25,20,4,15
7,1.32,40.76045609,-73.91443634,1,40.77392197,-73.90750885,0,2,4,1,8,20,22,11,4,1,8,20,30,59
4,0.62,40.73464584,-73.95500946,1,40.7303772,-73.95433807,0,2,4,1,8,19,51,38,4,1,8,19,55,7
7.5,1.17,40.72094727,-73.95713043,1,40.71595383,-73.95972443,0,2,4,1,1,22,21,13,4,1,1,22,31,7
8.5,2.08,40.69848251,-73.94133759,3,40.69636154,-73.97664642,0,2,1,1,12,19,48,41,1,1,12,19,55,5
11,2.7,40.82606125,-73.9496994,1,40.85089874,-73.93203735,0,1,4,1,29,11,6,29,4,1,29,11,18,10
10,2.25,40.84292984,-73.88619995,1,40.86658096,-73.89421844,0,2,4,1,22,17,32,40,4,1,22,17,46,59
18.5,5.11,40.71327209,-73.82883453,1,40.74579239,-73.9069519,0,2,0,1,4,10,54,22,0,1,4,11,13,6
5,0.78,40.74251938,-73.89563751,1,40.74700928,-73.89001465,0,2,3,1,7,16,46,50,3,1,7,16,51,46
26,6.13,40.69753265,-73.83353424,1,40.74663925,-73.89350128,0,2,4,1,29,19,19,56,4,1,29,19,56,37
20,5.77,40.84245682,-73.89451599,3,40.79650116,-73.93875885,0,2,4,1,1,0,43,18,4,1,1,1,4,3
4,0.67,40.71952057,-73.84514618,1,40.71083832,-73.85063171,0,2,4,1,22,9,4,9,4,1,22,9,6,16
7.5,1.59,40.83454132,-73.92536163,1,40.82031631,-73.93618774,0,2,0,1,4,22,45,57,0,1,4,22,53,4
17.5,4.2,40.71489716,-73.95184326,2,40.74316025,-73.91714478,0,1,4,1,22,20,13,12,4,1,22,20,32,56
12,3.2,40.7112236,-74.00548553,1,40.69356155,-73.96611786,0,2,2,1,27,3,27,16,2,1,27,3,38,12
5,0.79,40.70559692,-73.94295502,1,40.71139145,-73.94733429,0,2,2,1,20,22,26,7,2,1,20,22,30,17
5,0.91,40.73667526,-73.95523834,1,40.72408676,-73.95095825,0,2,2,1,13,1,33,27,2,1,13,1,37,1
8,1.28,40.79517365,-73.96593475,5,40.79656219,-73.94917297,0,2,1,1,12,10,22,59,1,1,12,10,32,25
15.5,3.91,40.68461227,-73.79993439,1,40.72153091,-73.84427643,0,2,1,1,19,18,17,50,1,1,19,18,37,33
20,6.58,40.7538147,-73.83277893,1,40.7433548,-73.92225647,0,2,4,1,29,23,32,57,4,1,29,23,48,29
6.5,1.5,40.72232437,-73.9467392,1,40.74303055,-73.95148468,0,2,6,1,10,22,39,54,6,1,10,22,44,31
4.5,0.47,40.79354858,-73.94942474,1,40.79807663,-73.95209503,0,2,1,1,12,9,32,8,1,1,12,9,36,28
22,6.21,40.67803574,-74.00169373,1,40.69097137,-73.92894745,0,2,4,1,1,0,42,24,4,1,1,1,8,8
13.5,2.9,40.66389847,-73.91075134,1,40.65358734,-73.87206268,0,1,1,1,19,20,9,26,1,1,19,20,31,15
13,2.5,40.69311523,-73.96943665,3,40.69547272,-73.96930695,0,1,2,1,20,14,11,1,2,1,20,14,28,23
10,0.12,40.85131836,-73.91725922,1,40.8500824,-73.91903687,0,2,2,1,13,23,56,33,2,1,13,23,56,37
10.5,2.1,40.71891022,-73.84168243,1,40.74604034,-73.85634613,0,2,4,1,22,10,25,43,4,1,22,10,37,50
5,0.71,40.71687698,-73.94313049,5,40.71492386,-73.95166779,0,2,3,1,14,21,40,29,3,1,14,21,44,33
4,0.7,40.78734589,-73.95615387,1,40.7961235,-73.94973755,0,1,1,1,19,20,33,44,1,1,19,20,35,38
5.5,1.13,40.77295685,-73.89660645,1,40.77537537,-73.91207886,0,2,3,1,21,8,58,12,3,1,21,9,2,28
12.5,2.99,40.77376556,-73.98760986,1,40.78707123,-73.95365143,0,2,1,1,19,17,13,28,1,1,19,17,29,11
4.5,0.8,40.66723633,-73.98150635,1,40.67638016,-73.98068237,1,1,5,1,2,2,21,45,5,1,2,2,24,12
10,1.98,40.78263092,-73.98088074,1,40.80796814,-73.96411896,0,2,2,1,27,19,24,26,2,1,27,19,35,27
26,8.72,40.70959473,-73.96366119,1,40.7897644,-73.95444489,0,2,6,1,3,20,25,35,6,1,3,20,46,12
11,2.85,40.66718674,-73.7990036,1,40.7009697,-73.80670166,0,2,4,1,22,16,31,31,4,1,22,16,42,7
16.5,3.8,40.72191238,-73.8530426,1,40.74531555,-73.90458679,1,1,6,1,3,1,53,31,6,1,3,2,13,49
11.5,2.74,40.75398254,-73.88698578,6,40.76826859,-73.92434692,0,2,1,1,12,14,18,33,1,1,12,14,30,42
26.5,7.58,40.76847839,-73.98658752,1,40.85595322,-73.93301392,0,2,4,1,22,18,49,23,4,1,22,19,15,0
15,3.44,40.71623611,-74.00267029,1,40.68776703,-73.98012543,0,2,4,1,8,9,27,16,4,1,8,9,46,23
30.5,9.43,40.64177322,-73.96357727,1,40.7216301,-73.95817566,0,2,5,1,9,4,48,19,5,1,9,5,13,44
6,1.2,40.74533463,-73.92114258,5,40.74586868,-73.9033432,0,2,2,1,27,22,39,28,2,1,27,22,44,55
5,0.85,40.67416763,-73.97253418,1,40.68226242,-73.97655487,0,2,1,1,26,16,34,7,1,1,26,16,38,4
10,1.48,40.81063843,-73.96231842,1,40.79713058,-73.94928741,0,2,1,1,26,10,36,18,1,1,26,10,49,56
5,0.7,40.58353806,-73.95709991,1,40.58731842,-73.95388031,0,1,1,1,12,17,43,41,1,1,12,17,48,54
8.5,1.56,40.81476212,-73.94412994,5,40.79873657,-73.94174194,0,2,5,1,2,13,53,52,5,1,2,14,2,58
6.5,1.1,40.69613647,-73.99620819,1,40.69140625,-73.98994446,0,2,4,1,29,19,34,40,4,1,29,19,41,42
10.5,1.77,40.75209808,-73.90349579,2,40.74659729,-73.89142609,0,2,0,1,11,22,17,53,0,1,11,22,31,22
3,0.1,40.76585007,-73.91929626,1,40.76680374,-73.92121124,0,1,6,1,24,23,49,56,6,1,24,23,51,2
7,1.52,40.69208145,-73.94278717,5,40.69327545,-73.96586609,0,2,4,1,8,19,41,54,4,1,8,19,49,0
17,3.58,40.69590378,-73.97478485,1,40.69343185,-73.97615814,0,2,3,1,14,7,38,49,3,1,14,8,2,21
5,0.63,40.71248627,-73.96235657,2,40.71892548,-73.96112823,0,2,1,1,5,12,59,14,1,1,5,13,3,48
5.5,0.5,40.83217239,-73.94272614,2,40.83660507,-73.94297028,0,1,3,1,28,14,3,49,3,1,28,14,9,43
17,3.64,40.71644974,-73.95936584,1,40.71474075,-73.94321442,0,2,6,1,3,2,49,51,6,1,3,3,12,38
10,2.07,40.78304672,-73.98027039,1,40.80609131,-73.96153259,0,2,3,1,7,17,47,25,3,1,7,17,58,12
28.5,9.52,40.70486832,-73.94446564,1,40.75805283,-73.91970825,0,2,6,1,10,5,29,22,6,1,10,5,53,41
16,3.84,40.67288589,-73.83352661,1,40.70585632,-73.80976105,0,2,4,1,29,12,56,47,4,1,29,13,15,58
62.5,10.56,40.67996597,-73.94194794,1,40.57874298,-74.00019073,0,2,3,1,28,16,7,0,3,1,28,17,44,46
7,0.74,40.68610764,-73.98254395,1,40.69395828,-73.98727417,0,2,2,1,27,14,25,54,2,1,27,14,35,14
5.5,1.11,40.72325134,-73.85798645,1,40.71962357,-73.83930206,0,2,1,1,5,9,7,16,1,1,5,9,12,1
8,1.3,40.74988937,-73.86295319,1,40.7624588,-73.87525177,0,1,0,1,4,14,45,13,0,1,4,14,54,56
9.5,1.84,40.80456543,-73.95526123,1,40.78735352,-73.9415741,0,2,3,1,21,11,21,52,3,1,21,11,33,32
10.5,2,40.80645752,-73.96508789,1,40.79084015,-73.95394135,0,2,4,1,15,12,0,27,4,1,15,12,12,58
10.5,2.3,40.7208519,-73.90293884,1,40.74813461,-73.89490509,0,1,3,1,14,21,20,28,3,1,14,21,32,4
9,2.17,40.83302307,-73.94070435,1,40.80450821,-73.95557404,0,2,5,1,9,22,44,57,5,1,9,22,53,26
8,1.27,40.7015419,-73.98657227,1,40.69420624,-73.97002411,0,2,0,1,25,8,39,29,0,1,25,8,49,13
9,1.64,40.72664642,-73.89548492,1,40.74602127,-73.9010849,0,2,4,1,15,7,23,50,4,1,15,7,33,39
6,0.71,40.81467056,-73.94585419,1,40.8211937,-73.94625854,0,2,0,1,25,16,30,47,0,1,25,16,37,40
7,0.9,40.78741455,-73.94252777,1,40.78848267,-73.95340729,0,1,4,1,29,14,31,59,4,1,29,14,41,7
5.5,0.7,40.81073761,-73.94322205,1,40.80093384,-73.9469223,0,2,2,1,6,16,52,6,2,1,6,16,56,50
7.5,1.49,40.85753632,-73.88282776,1,40.84019852,-73.87962341,0,2,3,1,28,23,52,50,4,1,29,0,0,24
10,1.64,40.79509354,-73.96598053,1,40.81061172,-73.95276642,0,2,6,1,24,11,20,43,6,1,24,11,34,21
17,2.63,40.76196289,-73.96334076,1,40.78990936,-73.95227051,0,2,1,1,26,19,37,20,1,1,26,20,2,47
27,7.32,40.70267487,-73.92926025,1,40.71985626,-73.83975983,0,2,4,1,29,15,26,50,4,1,29,15,58,31
10,2.8,40.80207825,-73.96550751,1,40.8333931,-73.94553375,0,1,0,1,18,8,25,51,0,1,18,8,33,24
6,1,40.72618866,-73.93894196,2,40.71902084,-73.94513702,0,1,4,1,15,18,14,28,4,1,15,18,20,32
4,0.51,40.80399704,-73.94810486,1,40.79862213,-73.94141388,0,2,6,1,17,9,0,33,6,1,17,9,2,31
18,4.26,40.6882515,-73.93274689,1,40.66944885,-73.97953033,0,2,1,1,19,12,18,58,1,1,19,12,42,36
4.5,0.54,40.8384552,-73.91320038,1,40.83248138,-73.91933441,0,2,3,1,14,17,38,2,3,1,14,17,41,33
3,0.25,40.74734116,-73.87454987,1,40.74905014,-73.87283325,0,2,4,1,1,0,11,10,4,1,1,0,13,21
7,1.3,40.66849136,-73.98696136,1,40.68387222,-73.97881317,0,2,4,1,15,0,50,15,4,1,15,0,56,41
11.5,1.87,40.68202591,-73.96453857,1,40.67545319,-73.98859406,0,2,4,1,22,12,42,44,4,1,22,12,59,0
16,3.99,40.7321434,-73.99588013,1,40.6865921,-73.9905014,0,2,4,1,1,19,14,23,4,1,1,19,32,23
11.5,2.25,40.6770401,-74.0153656,5,40.67918015,-73.99562836,0,2,5,1,2,16,59,32,5,1,2,17,14,2
5,0.76,40.66285324,-73.9419632,2,40.65568542,-73.94686127,0,2,1,1,12,17,34,31,1,1,12,17,38,35
33,8.43,40.85220337,-73.83924103,1,40.80768204,-73.92692566,0,2,3,1,28,14,48,18,3,1,28,15,28,30
6,0.87,40.81657028,-73.92312622,1,40.80763626,-73.91930389,0,2,4,1,8,17,47,10,4,1,8,17,53,9
18.5,3.45,40.71831894,-73.99103546,5,40.72777557,-73.95890045,0,2,5,1,30,12,12,57,5,1,30,12,40,48
3.5,0.47,40.67434692,-73.95365906,1,40.67085648,-73.95785522,0,2,5,1,30,0,43,0,5,1,30,0,45,14
8.5,2.01,40.72644043,-73.89355469,1,40.73377609,-73.86914825,0,2,2,1,6,14,7,5,2,1,6,14,13,52
19,5.3,40.78338623,-73.98271942,1,40.84199142,-73.9422226,0,2,2,1,13,8,40,48,2,1,13,9,0,42
19.5,3.2,40.68922424,-73.94443512,1,40.71719742,-73.95845795,0,1,4,1,29,14,20,7,4,1,29,14,51,4
12,3.35,40.82593155,-73.94100189,5,40.79338837,-73.94042969,0,2,5,1,2,2,37,32,5,1,2,2,48,42
28.5,9.65,40.71333313,-73.99060822,1,40.81442642,-73.94445801,0,2,6,1,10,1,1,28,6,1,10,1,19,40
13.5,2.87,40.80467606,-73.94150543,1,40.79636765,-73.93830109,0,2,0,1,11,14,41,58,0,1,11,15,0,23
3,0.29,40.81575012,-73.93682861,1,40.81467819,-73.94036102,0,2,0,1,25,19,48,48,0,1,25,19,50,19
18,4.36,40.76197433,-73.92214203,1,40.72228622,-73.95752716,0,2,6,1,17,4,44,3,6,1,17,5,4,44
7,0.9,40.75749969,-73.88288116,1,40.74760056,-73.88342285,0,1,0,1,18,3,26,21,0,1,18,3,34,7
27,8.3,40.7518425,-73.98052216,1,40.84070969,-73.94022369,0,1,2,1,6,17,34,45,2,1,6,18,2,21
4.5,0.53,40.8085556,-73.95965576,1,40.80480576,-73.96602631,0,2,2,1,20,0,29,43,2,1,20,0,32,49
5.5,1.04,40.70212555,-73.84022522,1,40.71358871,-73.83036804,0,2,5,1,23,0,23,44,5,1,23,0,28,2
5,0.78,40.81573486,-73.93871307,1,40.80586624,-73.94052887,0,2,5,1,2,18,44,56,5,1,2,18,49,2
6,0.94,40.75669479,-73.94458008,1,40.7551651,-73.93094635,0,2,3,1,28,23,14,0,3,1,28,23,20,7
17.5,5.01,40.79055405,-73.96555328,1,40.84059906,-73.94033051,0,2,4,1,22,23,46,7,5,1,23,0,1,4
9,1.89,40.81275558,-73.90312195,1,40.82059097,-73.93664551,0,2,4,1,22,21,57,32,4,1,22,22,6,48
31.5,4.44,40.76104736,-73.83248138,1,40.74642944,-73.89085388,0,2,0,1,25,14,51,20,0,1,25,15,46,3
9,1.83,40.68519592,-73.92320251,1,40.69946289,-73.94149017,0,2,4,1,15,9,18,27,5,1,16,8,40,35
7.5,1.69,40.80209732,-73.95336151,1,40.82510376,-73.94775391,0,2,6,1,10,18,11,9,6,1,10,18,17,55
20,6.15,40.72557831,-73.86329651,1,40.71932602,-73.95821381,0,2,5,1,9,22,39,18,5,1,9,22,56,6
8.5,1.98,40.69057083,-73.95832825,1,40.66559219,-73.95400238,0,2,5,1,16,23,58,34,6,1,17,0,6,44
10.5,2.16,40.82567215,-73.95269775,1,40.80259323,-73.95501709,0,2,4,1,15,17,36,24,4,1,15,17,49,20
27,6.67,40.76501083,-73.96125793,1,40.73052597,-73.86172485,0,2,1,1,12,14,50,2,1,1,12,15,24,29
26.5,8.4,40.65576172,-74.0086441,1,40.67995453,-73.94078064,0,1,6,1,3,14,15,31,6,1,3,14,37,53
15.5,3.8,40.74937057,-73.97476959,1,40.72019196,-73.95976257,0,1,1,1,26,14,59,5,1,1,26,15,16,33
6,1.18,40.79029465,-73.94589996,1,40.80338669,-73.94879913,0,2,2,1,13,12,20,42,2,1,13,12,26,59
5,0.65,40.70729065,-73.83638763,1,40.71354294,-73.8303299,0,2,4,1,29,20,41,45,4,1,29,20,46,50
6.5,0.85,40.7590332,-73.88695526,1,40.74761581,-73.88542938,0,2,3,1,21,18,26,39,3,1,21,18,34,32
24,7.79,40.774189,-73.87345123,3,40.7467041,-73.94393921,0,2,4,1,29,12,19,12,4,1,29,12,37,24
16,4.01,40.77719879,-73.90074921,2,40.7491684,-73.86941528,0,2,5,1,23,2,30,47,5,1,23,2,52,25
15,3.37,40.70053482,-73.91918945,2,40.71884155,-73.95452881,0,2,5,1,16,18,2,30,5,1,16,18,22,28
5,0.65,40.68000412,-73.94308472,1,40.68106842,-73.95547485,0,2,4,1,15,23,22,6,4,1,15,23,25,56
6.5,0.79,40.75987625,-73.91830444,1,40.76833725,-73.92448425,0,2,0,1,25,16,1,9,0,1,25,16,8,58
9.5,1.84,40.80929184,-73.94891357,1,40.82887268,-73.94859314,0,2,3,1,7,13,38,19,3,1,7,13,48,34
10,2.68,40.77152634,-73.95668793,1,40.80506516,-73.93907166,0,2,5,1,30,0,7,24,5,1,30,0,16,43
20.5,5.94,40.7257843,-73.98403931,1,40.75879669,-73.9187088,0,2,5,1,2,18,55,2,5,1,2,19,20,2
6.5,0.85,40.71383286,-73.96178436,1,40.71709442,-73.95004272,0,2,5,1,2,21,50,8,5,1,2,21,57,36
12,2.85,40.80099869,-73.93718719,1,40.81903076,-73.91654968,0,2,5,1,9,6,51,4,5,1,9,7,3,23
6,1.03,40.80495071,-73.93914032,1,40.80585861,-73.95444489,0,2,6,1,17,10,23,33,6,1,17,10,29,49
5.5,0.7,40.85299683,-73.93266296,1,40.8446846,-73.93885803,0,1,0,1,25,10,1,4,0,1,25,10,6,47
6,1,40.68167877,-73.9897995,1,40.69038773,-73.9943924,0,1,3,1,21,19,39,54,3,1,21,19,46,2
6.5,1.1,40.80686569,-73.94122314,1,40.80596924,-73.95428467,0,1,1,1,5,21,40,29,1,1,5,21,47,13
7.5,1.53,40.71526337,-73.96022034,1,40.73357773,-73.95491028,0,2,5,1,9,10,39,7,5,1,9,10,46,14
22,6.8,40.7701149,-73.98048401,1,40.85100555,-73.9385376,0,1,6,1,24,12,49,56,6,1,24,13,9,14
5.5,0.9,40.70497894,-73.80122375,1,40.70045471,-73.8077774,0,1,2,1,13,20,35,0,2,1,13,20,39,59
4.5,0.47,40.82022476,-73.95539856,1,40.8260498,-73.9509201,0,2,2,1,13,17,33,40,2,1,13,17,37,33
20,0.12,40.71482849,-73.95674896,1,40.71610641,-73.95541382,0,2,4,1,1,3,36,43,4,1,1,3,36,48
12,2.9,40.69734192,-73.93603516,1,40.67750168,-73.95912933,0,1,4,1,1,0,36,39,4,1,1,0,50,32
8,2.41,40.83837891,-73.91685486,1,40.82335663,-73.91629791,0,2,6,1,10,22,44,29,6,1,10,22,55,53
26.5,7.97,40.68775558,-73.95014191,1,40.75307083,-73.91173553,0,2,5,1,9,22,21,40,5,1,9,22,45,16
31,9.9,40.75252914,-73.97840881,2,40.86526489,-73.93091583,0,1,1,1,5,14,48,58,1,1,5,15,14,47
7,1.2,40.73931122,-73.88948059,2,40.73432159,-73.86901855,0,1,2,1,6,19,48,43,2,1,6,19,55,55
4.5,0.6,40.81443024,-73.94041443,1,40.81041718,-73.94691467,0,1,1,1,5,8,4,7,1,1,5,8,7,53
6.5,0.75,40.71779633,-73.8340683,1,40.71950912,-73.84518433,0,2,1,1,5,18,11,36,1,1,5,18,19,52
13.5,2.79,40.74496841,-73.93512726,6,40.74766159,-73.88366699,0,2,0,1,11,12,29,5,0,1,11,12,46,38
6.5,1.47,40.67681122,-73.94889832,1,40.68599319,-73.93325043,0,2,2,1,13,23,40,34,2,1,13,23,46,26
5,0.77,40.7530365,-73.90633392,1,40.74572372,-73.9033432,0,2,4,1,1,1,50,45,4,1,1,1,55,30
7,1.52,40.78689575,-73.95024872,1,40.80526352,-73.93904877,0,2,4,1,1,20,37,3,4,1,1,20,42,53
4.5,0.88,40.71638489,-73.96379852,1,40.71020126,-73.96216583,0,2,4,1,8,14,46,42,4,1,8,14,49,25
7,1.5,40.78955078,-73.95246887,1,40.80271149,-73.93726349,0,1,5,1,16,12,4,53,5,1,16,12,11,46
21.5,7.2,40.77352142,-73.94909668,1,40.70248413,-73.98781586,0,1,0,1,25,2,50,30,0,1,25,3,5,36
12.5,2.57,40.85414886,-73.91191864,1,40.83595276,-73.94333649,0,2,2,1,20,16,27,56,2,1,20,16,43,27
14,2.77,40.84161758,-73.93911743,1,40.80934143,-73.94802094,0,2,4,1,8,14,11,10,4,1,8,14,30,2
9.5,1.8,40.84070587,-73.94029999,1,40.82797241,-73.92566681,0,1,2,1,13,22,51,9,2,1,13,23,1,44
12,2.5,40.71452332,-73.95767212,1,40.69177628,-73.96744537,0,1,0,1,4,18,24,49,0,1,4,18,40,52
6.5,1.2,40.69416428,-73.92380524,3,40.70643234,-73.92299652,0,1,3,1,21,3,59,25,3,1,21,4,5,54
12.5,3.29,40.71921158,-73.98977661,1,40.72370529,-73.95101166,0,2,2,1,27,20,57,29,2,1,27,21,8,49
11,1.97,40.75675201,-73.92937469,1,40.74262619,-73.91569519,0,2,5,1,2,20,39,4,5,1,2,20,53,53
11,1.94,40.82051468,-73.93655396,1,40.84060287,-73.94030762,0,2,3,1,14,16,34,31,3,1,14,16,48,9
9.5,2.5,40.67544937,-73.96773529,1,40.67936325,-73.93009186,0,1,4,1,1,0,19,8,4,1,1,0,27,48
4.5,0.72,40.731884,-73.9021225,1,40.74131012,-73.89956665,0,2,4,1,22,23,10,43,5,1,23,0,0,0
11,2.85,40.77410126,-73.8728714,1,40.76999664,-73.91763306,0,2,4,1,15,18,10,48,4,1,15,18,21,29
9.5,2.17,40.82291794,-73.91819,1,40.80757523,-73.94511414,0,2,6,1,3,22,7,22,6,1,3,22,17,26
19.5,6,40.80476379,-73.9371109,1,40.87902451,-73.90467072,0,1,5,1,9,9,11,23,5,1,9,9,25,48
6,1.12,40.73579407,-73.85116577,1,40.72105789,-73.84405518,0,2,1,1,26,23,24,9,1,1,26,23,29,26
4.5,0.8,40.6791954,-73.96304321,1,40.6835289,-73.97624969,0,2,2,1,27,20,9,2,2,1,27,20,12,8
11,2.25,40.65576172,-73.9598465,2,40.6841011,-73.9776535,0,2,6,1,24,20,28,53,6,1,24,20,41,47
11.5,2.2,40.75508499,-73.88978577,1,40.7751236,-73.91178131,0,1,2,1,27,17,45,23,2,1,27,17,59,19
10.5,2.64,40.78037643,-73.95508575,1,40.81259155,-73.93772125,0,2,6,1,10,11,9,50,6,1,10,11,21,7
59,13.9,40.64550018,-73.77632904,1,40.67928314,-73.99507141,0,1,3,1,14,16,11,32,3,1,14,17,32,12
6.5,1.07,40.79101181,-73.97442627,5,40.8048172,-73.96656799,0,2,3,1,7,11,6,37,3,1,7,11,12,38
19.5,5.39,40.72204971,-73.9577713,1,40.68667603,-73.99046326,0,2,5,1,16,16,11,42,5,1,16,16,30,46
5.5,1.13,40.79012299,-73.9520874,1,40.79724121,-73.94065857,0,2,2,1,20,21,47,29,2,1,20,21,51,54
4,0.47,40.81573105,-73.96038818,1,40.81036758,-73.96179962,0,2,5,1,9,14,39,10,5,1,9,14,41,41
8,1.75,40.71860886,-73.84044647,2,40.73270798,-73.8635788,0,2,4,1,15,21,2,57,4,1,15,21,11,21
5.5,0.75,40.79952621,-73.93778992,1,40.79987717,-73.94499207,0,2,4,1,22,22,43,39,4,1,22,22,49,12
11.5,2.74,40.71974564,-73.99295044,1,40.68684006,-73.99286652,0,2,5,1,16,20,54,12,5,1,16,21,6,7
