ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.036752104,183.521107,20461.25271,7.333212178,333.1194759,356.3690224,20.17902887,67.01990322,4.886633785,0
6.643158712,188.9135411,32873.82002,6.791509363,333.8488419,336.561501,14.70681031,67.84484886,4.562197671,1
7.846057926,224.0588768,23264.10997,5.922367041,300.4026201,387.9713358,13.40673745,43.07518647,2.487968647,0
7.160467231,183.08931,6743.346066,3.803036424,277.5990986,428.0363444,9.79962469,90.03537367,3.884891044,0
6.615350135,179.2406613,26392.86361,9.309160027,333.0735457,496.3635615,12.78659537,78.26236862,4.453443265,1
13.17540172,47.432,19237.94968,8.907019729,375.1473148,500.2459518,12.08389565,66.6224851,4.10692449,1
5.499489286,230.3087747,13902.96865,9.619574961,352.0843328,442.1670062,14.74078711,66.6224851,5.846826958,0
11.23542596,178.5964959,33773.10706,9.063042096,327.6509604,425.8680392,17.98625524,58.98665173,5.147055276,0
7.036752104,139.3311518,2912.211247,10.33823398,343.3180208,532.8851961,11.07834122,42.17282405,4.093097749,0
7.036752104,233.8466208,32496.64022,6.637384365,347.9864477,424.6497728,13.02799983,55.98397317,4.296188763,0
8.394397412,187.6434114,10603.09802,7.840260507,352.8356398,376.2411457,13.3748312,58.95000171,2.83390143,0
7.714312672,191.6926397,19789.63608,7.856556902,340.3263144,377.9263683,18.91702672,58.69220411,4.42513397,1
7.417823927,243.304691,320.9426113,4.598669852,336.0979811,361.1017694,20.42147204,87.05257595,3.470812079,0
6.350290472,190.3837378,14905.39385,5.537830157,333.0735457,446.8406051,13.98356664,67.81709624,4.265233067,1
9.159660477,195.4233158,16679.33516,10.11046223,301.7464106,404.6591027,5.196716755,55.46675876,5.452362325,1
4.1502143,174.9267412,41489.63981,5.569868658,333.0735457,425.2500465,12.53400873,86.68363454,3.502370872,0
7.197795992,168.6409754,12763.26789,6.89759414,333.0735457,566.2506937,12.43757097,65.74671735,3.844013287,0
5.198067643,200.4644449,37200.24206,7.401099401,311.7948866,573.1355324,17.23865591,74.94821697,3.295033859,0
7.240351006,201.9971958,14462.67431,6.73717605,314.0431372,534.8009878,14.21379446,82.94581671,3.7829719,0
7.116132606,204.0407822,25131.66528,5.402654753,292.3244035,424.0034993,12.83670966,55.40458673,3.915381678,1
6.380717315,266.0154103,21250.93563,4.854334534,357.2410268,358.1854729,27.00670661,59.93778492,4.532019663,0
7.86978187,184.0661691,18608.6563,7.411034745,333.0735457,364.5776035,17.58072563,0.738,4.219575578,0
8.127710424,203.0703085,13227.05238,6.310902368,362.275707,409.7422238,18.27727726,78.92957895,4.244173211,0
5.152203722,207.2992598,27000.10688,6.691806012,333.0735457,350.0049779,12.49050929,49.85296456,4.689842818,0
7.894322783,176.319304,11697.60697,8.19810571,376.7839891,383.0191013,12.67748794,57.28026549,2.865031443,0
8.313773604,196.5476964,11310.95831,5.31081523,364.4050673,607.9158477,8.457141855,76.69457951,4.290071516,0
7.868147086,199.035973,20434.10574,6.210993674,337.9160908,549.4149828,16.50157842,66.6224851,4.315898406,0
9.318613916,317.3381241,24497.87394,7.597451675,357.1672168,476.5103845,12.03237711,68.59982979,4.642719286,1
7.036752104,205.6387903,39742.97033,4.660528471,323.9564921,509.5464193,11.67484982,55.04267885,3.916745527,0
